Field Path,Field Name,Data Type,Required,Description,Example Value,Used In APIs,Notes
context.version,Version,String,Yes,Beckn protocol version,2.0.0,All,Always 2.0.0 for v2 APIs
context.action,Action,String,Yes,The API action being performed,"discover, on_discover, select, on_select, init, on_init, confirm, on_confirm, update, on_update, track, on_track, on_status, rating, on_rating, support, on_support, cancel, on_cancel",All,Defines which API endpoint is being called
context.domain,Domain,String,Yes,Domain/use case identifier,beckn.one:deg:ev-charging:*,All,Identifies EV charging domain
context.location.country.code,Country Code,String,Yes,ISO 3166-1 alpha-3 country code,IND,All,Three-letter country code
context.location.city.code,City Code,String,Yes,City code with standard prefix,std:080,All,Format: std:<STD_code>
context.timestamp,Timestamp,DateTime,Yes,Request/response timestamp,2024-01-15T10:30:00Z,All,ISO 8601 format with timezone
context.transaction_id,Transaction ID,UUID,Yes,Unique identifier for the transaction,2b4d69aa-22e4-4c78-9f56-5a7b9e2b2002,All,Remains same across request-response pairs
context.message_id,Message ID,UUID,Yes,Unique identifier for each message,a1eabf26-29f5-4a01-9d4e-4c5c9d1a3d02,All,Unique for each request/response
context.bap_id,BAP ID,String,Yes,Buyer Application Platform identifier,bap.example.com,All,Domain name of BAP
context.bap_uri,BAP URI,URL,Yes,BAP callback endpoint,https://bap.example.com,All,Full URL for BAP callbacks
context.bpp_id,BPP ID,String,No,Beckn Provider Platform identifier,bpp.example.com,"on_discover, on_select, on_init, on_confirm, on_update, on_track, on_status, on_rating, on_support, on_cancel",Present in responses from BPP
context.bpp_uri,BPP URI,URL,No,BPP endpoint,https://bpp.example.com,"on_discover, on_select, on_init, on_confirm, on_update, on_track, on_status, on_rating, on_support, on_cancel",Full URL for BPP
context.ttl,Time To Live,Duration,Yes,Maximum time to wait for response,PT30S,All,ISO 8601 duration format
context.schema_context,Schema Context,Array[URL],Yes,JSON-LD context references,https://raw.githubusercontent.com/.../context.jsonld,All,References to schema definitions
message.text_search,Text Search,String,No,Free-text search query,EV charger fast charging,discover,Natural language search query
message.spatial,Spatial Filters,Array[Object],No,Geographic search filters,[{op: s_dwithin...}],discover,CQL2 spatial operators for location-based search
message.spatial[].op,Spatial Operator,String,Yes,Spatial operation type,"s_dwithin, s_contains, s_intersects",discover,CQL2 spatial operator
message.spatial[].targets,Targets JSONPath,String,Yes,JSONPath to target fields,$['beckn:availableAt'][*]['geo'],discover,Which fields to apply spatial filter to
message.spatial[].geometry.type,Geometry Type,String,Yes,GeoJSON geometry type,"Point, Polygon, LineString",discover,Type of geographic shape
message.spatial[].geometry.coordinates,Coordinates,Array,Yes,Geographic coordinates,[77.5900 12.9400],"discover, on_discover",Longitude and latitude pairs
message.spatial[].distanceMeters,Distance in Meters,Number,No,Radius for distance queries,10000,discover,For s_dwithin operator
message.filters.expression,Filter Expression,String,No,JSONPath filtering logic,$[?(@.itemAttributes.connectorType=='CCS2')],discover,Complex filtering using JSONPath
message.catalogs,Catalogs,Array[Object],Yes,Array of catalog objects,[{@type: beckn:Catalog...}],on_discover,Contains available items/services
message.catalogs[].@context,Context,URL,Yes,JSON-LD context,https://becknprotocol.io/.../Catalog/schema-context.jsonld,on_discover,Schema definition reference
message.catalogs[].@type,Type,String,Yes,JSON-LD type,beckn:Catalog,on_discover,Always beckn:Catalog
message.catalogs[].beckn:descriptor,Descriptor,Object,Yes,Catalog description,{schema:name: EV Charging Services Network},on_discover,Human-readable catalog information
message.catalogs[].beckn:descriptor.schema:name,Name,String,Yes,Display name,EV Charging Services Network,on_discover,Catalog name shown to users
message.catalogs[].beckn:descriptor.beckn:shortDesc,Short Description,String,No,Brief description,Comprehensive network of fast charging stations,on_discover,One-line description
message.catalogs[].beckn:validity,Validity Period,Object,No,Time period for catalog validity,{schema:startDate schema:endDate},on_discover,When catalog is valid
message.catalogs[].beckn:validity.schema:startDate,Start Date,DateTime,Yes,Validity start time,2024-10-01T00:00:00Z,on_discover,ISO 8601 format
message.catalogs[].beckn:validity.schema:endDate,End Date,DateTime,Yes,Validity end time,2025-01-15T23:59:59Z,on_discover,ISO 8601 format
